Country,Type,Attacks
Northern Arabian Sea,Unprovoked,1
Northern Mariana Islands,Unprovoked,1
Norway,Provoked,1
Norway,Questionable,1
Ocean,Sea Disaster,1
Pacifc Ocean,Sea Disaster,1
Pacific Ocean,Provoked,5
Pacific Ocean,Questionable,2
Pacific Ocean,Sea Disaster,18
Pacific Ocean,Unprovoked,7
Palau,Provoked,1
Palau,Unprovoked,4
Panama,Provoked,4
Panama,Questionable,1
Panama,Unprovoked,27
Papua New Guinea,Attacks on boats,3
Papua New Guinea,Provoked,14
Papua New Guinea,Questionable,2
Papua New Guinea,Sea Disaster,6
Papua New Guinea,Unprovoked,129
Paraguay,Unprovoked,1
Persian Gulf,Sea Disaster,1
Persian Gulf,Unprovoked,3
Peru,Unprovoked,2
Philippines,Provoked,2
Philippines,Questionable,4
Philippines,Sea Disaster,26
Philippines,Unprovoked,32
Portugal,Attacks on boats,4
Portugal,Provoked,3
Portugal,Questionable,1
Portugal,Unprovoked,1
Puerto Rico,Unprovoked,1
Red Sea,Sea Disaster,1
Red Sea,Unprovoked,2
Reunion,Attacks on boats,3
Reunion,Unprovoked,57
Reunion Island,Questionable,2
Reunion Island,Unprovoked,3
Russia,Unprovoked,4
Saint Kitts & Nevis,Questionable,2
Saint Kitts And Nevis,Unprovoked,1
Samoa,Attacks on boats,1
Samoa,Provoked,1
Samoa,Sea Disaster,1
Samoa,Unprovoked,8
San Domingo,Sea Disaster,1
Saudi Arabia,Questionable,1
Saudi Arabia,Unprovoked,4
Senegal,Provoked,2
Senegal,Questionable,2
Senegal,Sea Disaster,1
Senegal,Unprovoked,6
Seychelles,Questionable,1
Seychelles,Unprovoked,9
Sierra Leone,Sea Disaster,2
Sierra Leone,Unprovoked,7
Singapore,Unprovoked,6
Slovenia,Attacks on boats,1
Slovenia,Unprovoked,1
Solomon Islands,Provoked,1
Solomon Islands,Sea Disaster,9
Solomon Islands,Unprovoked,21
Somalia,Provoked,1
Somalia,Questionable,1
Somalia,Unprovoked,4
South Africa,Attacks on boats,55
South Africa,Provoked,58
South Africa,Questionable,66
South Africa,Sea Disaster,5
South Africa,Unprovoked,414
South China Sea,Unprovoked,1
South Korea,Unprovoked,9
Spain,Attacks on boats,1
Spain,Provoked,5
Spain,Questionable,10
Spain,Unprovoked,30
Sri Lanka,Questionable,2
Sri Lanka,Sea Disaster,1
Sri Lanka,Unprovoked,15
"St Helena, British Overseas Territory",Unprovoked,3
St Martin,Attacks on boats,1
St Martin,Unprovoked,2
State Of Palestine,Provoked,1
Sudan,Provoked,2
Sudan,Sea Disaster,1
Sudan,Unprovoked,2
Sweden,Unprovoked,1
Syria,Questionable,1
Taiwan,Provoked,2
Taiwan,Sea Disaster,1
Taiwan,Unprovoked,6
Tanzania,Provoked,1
Tanzania,Questionable,1
Tanzania,Unprovoked,6
Tasman Sea,Unprovoked,1
Thailand,Provoked,2
Thailand,Unprovoked,10
The Bahamas,Attacks on boats,1
The Bahamas,Provoked,18
The Bahamas,Questionable,7
The Bahamas,Sea Disaster,5
The Bahamas,Unprovoked,106
Tonga,Provoked,2
Tonga,Questionable,2
Tonga,Sea Disaster,2
Tonga,Unprovoked,12
Trinidad & Tobago,Provoked,1
Trinidad & Tobago,Unprovoked,3
Trinidad And Tobago,Provoked,1
Trinidad And Tobago,Questionable,1
Trinidad And Tobago,Unprovoked,1
Tunisia,Unprovoked,3
Turkey,Attacks on boats,6
Turkey,Provoked,1
Turkey,Questionable,1
Turkey,Unprovoked,4
Turks & Caicos,Sea Disaster,1
Turks & Caicos,Unprovoked,8
Tuvalu,Sea Disaster,1
United Arab Emirates,Attacks on boats,1
United Arab Emirates,Questionable,1
United Arab Emirates,Unprovoked,2
United Kingdom,Attacks on boats,6
United Kingdom,Provoked,19
United Kingdom,Questionable,3
United Kingdom,Sea Disaster,1
United Kingdom,Unprovoked,18
United States Of America,Attacks on boats,82
United States Of America,Provoked,237
United States Of America,Questionable,211
United States Of America,Sea Disaster,37
United States Of America,Unprovoked,1984
Uruguay,Unprovoked,4
Usa,Questionable,1
Usa,Unprovoked,1
Vanuatu,Attacks on boats,1
Vanuatu,Provoked,1
Vanuatu,Unprovoked,12
Venezuela,Unprovoked,11
Vietnam,Provoked,1
Vietnam,Sea Disaster,2
Vietnam,Unprovoked,12
West Indies,Unprovoked,2
Yemen,Questionable,1
Yemen,Sea Disaster,1
Yemen,Unprovoked,7
